"Console Name","Game Name","Price","Condition","Rating","Region","Included","Quantity","UPC","Sold","Sold-Date"
"PlayStation 4","Rise of the Tomb Raider 20 year ","","","","","","0","66224891892","",""
"PlayStation 4","shadow of war","","","","","","0","883929599288","",""
"PlayStation 4","rocksmith 2014","","","","","","0","","",""
"PlayStation 4","mortal kombat xl","","","","","","1","883929527458","",""
"PlayStation 4","until dawn","","","","","","0","","",""
"PlayStation 4","mx vs atv supercross encore","","","","","","1","81199402033","",""
"PlayStation 4","Call of Duty Ghosts ","","","","","","1","","",""
"PlayStation 4","homefront the revolution","","","","","","1","816819011874","",""
"PlayStation 4","Battlefield 4","","","","","","0","1463373061","",""
"PlayStation 4","Prey","","","","","","0","93155171480","",""
"PlayStation 4","For Honor","","","","","","2","887256015657","",""
"PlayStation 4","watch dogs 2","","","","","","0","887256022884","",""
"PlayStation 4","mass effect adromeda","","","","","","2","14633368895","",""
"PlayStation 4","resident evil bio hazzaard ","","","","","","1","13388560288","",""
"PlayStation 4","Call of Duty Infinite Warfare ","","","","","","1","47875878556","",""
"PlayStation 4","tales from the borderlands ","","","","","","0","710425477393","",""
"PlayStation 4","rocksmith 2014 remastered w/ cable","","","","","","0","","",""
"PlayStation 4","Back to the future the game 30th an","","","","","","0","","",""
"PlayStation 4","project cars ","","","","","","0","","",""
"PlayStation 4","Adventure Time Finn and Jake","","","","","","1","815403010705","",""
"PlayStation 4","farcry 5 ","","","","","","1","887256028824","",""
"PlayStation 4","titanfall 2","","","","","","1","14633368741","",""
"PlayStation 4","madden nfl17","","","","","","2","14633371017","",""
"PlayStation 4","nba 2k17","","","","","","0","","",""
"PlayStation 4","star dew valley ","","","","","","0","","",""
"PlayStation 4","Baja Edge of control hd","","","","","","1","","",""
"PlayStation 4","nba 2k16","","","","","","1","710425475993","",""
"PlayStation 4","borderlands the handsome collection ","","","","","","0","710425475337","",""
"PlayStation 4","skyrim special edition","","","","","","1","93155171251","",""
"PlayStation 4","need for speed ","","","","","","2","","",""
"PlayStation 4","deus ex mankind divided ","","","","","","2","662248916361","",""
"PlayStation 4","the sims 4","","","","","","2","","",""
"PlayStation 4","call of duty ww2","","","","","","0","","",""
"PlayStation 4","nioh","","","","","","1","","",""
"PlayStation 4","minecraft","","","","","","0","","",""
"PlayStation 4","elder scrolls online ","","","","","","0","","",""
"PlayStation 4","driveclub","","","","","","1","711719100140","",""
"PlayStation 4","battlefield hardline ","","","","","","3","","",""
"PlayStation 4","final fantasy xv","","","","","","0","662248915012","",""
"PlayStation 4","monster hunter world","","","","","","0","13388560424","",""
"PlayStation 4","monopoly family fun pack ","","","","","","1","","",""
"PlayStation 4","marvel vs capcom infinite","","","","","","1","","",""
"PlayStation 4","uncharted the lost legacy ","","","","","","0","711719510475","",""
"PlayStation 4","payday 2","","","","","","2","812872018522","",""
"PlayStation 4","south park the fractured but whole","","","","","","0","887256015770","",""
"PlayStation 4","ufc 2","","","","","","3","14633368772","",""
"PlayStation 4","steep ","","","","","","1","887256024543","",""
"PlayStation 4","evil within 2","","","","","","1","93155172326","",""
"PlayStation 4","wwe 2k17","","","","","","0","7104525477522","",""
"PlayStation 4","friday the 13th","","","","","","0","863784000419","",""
"PlayStation 4","shadow of the collosus ","","","","","","1","71171951052","",""
"PlayStation 4","metal gear survive ","","","","","","1","83717203285","",""
"PlayStation 4","dead by daylight ","","","","","","1","812872019208","",""
"PlayStation 4","mafia 3","","","","","","2","710425476662","",""
"PlayStation 4","madden 18","","","","","","0","14633738889","",""
"PlayStation 4","horizon zero dawn","","","","","","2","711719503484","",""
"PlayStation 4","doom","","","","","","2","93155170223","",""
"PlayStation 4","sints row re-elected","","","","","","1","816819012093","",""
"PlayStation 4","Injustice 2","","","","","","3","883929588701","",""
"PlayStation 4","god of war","","","","","","2","711719506133","",""
"PlayStation 4","the crew 2","","","","","","1","887256029074","",""
"PlayStation 4","wwe 2k18","","","","","","2","710425479458","",""
"PlayStation 4","Batman Telltale game","","","","","","0","883929558209","",""
"PlayStation 4","mirror's edge catalyst ","","","","","","0","14633733877","",""
"PlayStation 4","crash bandicoot n sane trilogy ","","","","","","0","","",""
"PlayStation 4","rainbow six siege ","","","","","","0","887256014674","",""
"PlayStation 4","star wars battlefront 2","","","","","","3","","",""
"PlayStation 4","dragonball fighterz","","","","","","1","722674122177","",""
"PlayStation 4","nba 2k18","","","","","","1","710425479021","",""
"PlayStation 4","dragon quest heroes the world","","","","","","0","662248916491","",""
"PlayStation 4","lego marvel avengers ","","","","","","0","883929474110","",""
"PlayStation 4","disney infinity 2.0 ","","","","","","0","712725026240","",""
"PlayStation 4","toy soldiers war chest hall of fame edition","","","","","","0","","",""
"PlayStation 4","the witcher wild hunt complete edition","","","","","","1","883929556519","",""
"PlayStation 4","metal gear solid the phantom pain","","","","","","0","83717202783","",""
"PlayStation 4","ghost recon wildlands","","","","","","3","887256022693","",""
"PlayStation 4","batlefield 4","","","","","","1","14633730616","",""
"PlayStation 4","gran turismo sport","","","","","","0","711719502791","",""
"PlayStation 4","dark souls remastered ","","","","","","0","722674121392","",""
"PlayStation 4","need for speed rivals","","","","","","1","14633730623","",""
"PlayStation 4","skyrim vr","","","","","","0","","",""
"PlayStation 4","resident evil 4 hd","","","","","","0","13388560318","",""
"PlayStation 4","ark survival evolved ","","","","","","0","884095178178","",""
"PlayStation 4","ratchet and clank ","","","","","","0","711719501220","",""
"PlayStation 4","marvel's spiderman","","","","","","1","711719506126","",""
"PlayStation 4","gta v","","","","","","4","710425475252","",""
"PlayStation 4","dive club vr","","","","","","1","711719505075","",""
"PlayStation 4","Kingdom hearts hd 1.5 + 2.5","","","","","","1","662248919249","",""
"PlayStation 4","diablo 3 eternal collection ","","","","","","1","47875882140","",""
"PlayStation 4","call of duty black ops 4","","","","","","3","47875882256","",""
"PlayStation 4","the order 1886","","","","","","1","","",""
"PlayStation 4","ratchet and clank ","","","","","","0","","",""
"PlayStation 4","burnout paradise remastered ","","","","","","0","1463373897","",""
"PlayStation 4","the crew wild run edition","","","","","","0","887256015602","",""
"PlayStation 4","darksiders 2","","","","","","0","811994020345","",""
"PlayStation 4","darksiders warmastered edition ","","","","","","1","811994020628","",""
"PlayStation 4","carnival games ","","","","","","0","710425574757","",""
"PlayStation 4","rocket league","","","","","","2","812872018942","",""
"PlayStation 4","we happy few","","","","","","1","850942007113","",""
"PlayStation 4","conan exiles ","","","","","","1","816819014998","",""
"PlayStation 4","red dead redeption 2","","","","","","2","710425478901","",""
"PlayStation 4","creed rise to glory vr","","","","","","0","","",""
"PlayStation 4","ultimat ninja storm 4","","","","","","1","722674120128","",""
"PlayStation 4","madden nfl 19","","","","","","0","14633739213","",""
"PlayStation 4","injustice ultimate edition ","","","","","","1","883929323371","",""
"PlayStation 4","the amazing spiderman ","","","","","","1","47875849365","",""
"PlayStation 4","deadpool","","","","","","1","","",""
"PlayStation 4","god of war 3 remasterd ","","","","","","0","711719501305","",""
"PlayStation 4","the evil within","","","","","","1","93155118553","",""
"PlayStation 4","dying light ","","","","","","0","883929356102","",""
"PlayStation 4","the last of us remastered ","","","","","","0","711719051794","",""
"PlayStation 4","wolfenstiein the new order ","","","","","","0","93155118225","",""
"PlayStation 4","the walking dead season 1 ","","","","","","1","894515001344","",""
"PlayStation 4","the walking dead season 2","","","","","","2","894515001412","",""
"PlayStation 4","the bioshock collection ","","","","","","1","710425477621","",""
"PlayStation 4","uncharted 4 special edition","","","","","","0","711719502142","",""
"PlayStation 4","nba live 14","","","","","","2","14633730708","",""
"PlayStation 4","madden nfl 15","","","","","","1","14633367836","",""
"PlayStation 4","the lgo ninjago movie video game","","","","","","1","883929597833","",""
"PlayStation 4","lego city undercover ","","","","","","1","883929580217","",""
"PlayStation 4","diablo 3 ultimate evil edition","","","","","","0","47875871786","",""
"PlayStation 4","nascar heat 3","","","","","","1","867771000161","",""
"PlayStation 4","the show 18","","","","","","1","711719510536","",""
"PlayStation 4","batman vr","","","","","","1","883929560219","",""
"PlayStation 4","saints row iv ","","","","","","2","816819012505","",""
"PlayStation 4","rick and morty vr","","","","","","1","","",""
"PlayStation 4","dmc devil may cry definitive edition","","","","","","1","","",""
"PlayStation 4","rougue stormers ","","","","","","0","852103006485","",""
"PlayStation 4","Minecraft story mode complete ","","","","","","1","","",""
"PlayStation 4","digimon hacker's memory ","","","","","","1","","",""
"PlayStation 4","pure farming 2018","","","","","","1","842648100182","",""
"PlayStation 4","agents of mayhem ","","","","","","0","","",""
"PlayStation 4","tales of berseria ","","","","","","1","722674120708","",""
"PlayStation 4","nascar heat 2","","","","","","1","867771000154","",""
"PlayStation 4","little big planet 3","","","","","","0","","",""
"PlayStation 4","overwatch","","","","","","0","","",""
"PlayStation 4","ned for speed payback ","","","","","","1","14633735222","",""
"PlayStation 4","spyro reignited trilogy ","","","","","","0","47875882379","",""
"PlayStation 4","lego jurassic world","","","","","","1","","",""
"PlayStation 4","sonic forces ","","","","","","0","","",""
"PlayStation 4","lego batman 3","","","","","","1","883929427406","",""
"PlayStation 4","anthem","","","","","","1","","",""
"PlayStation 4","fallout 4","","","","","","3","","",""
"PlayStation 4","lego marvel super heroes 2","","","","","","1","883929597802","",""
"PlayStation 4","injustice 2 legendary edition","","","","","","1","883929632947","",""
"PlayStation 4","la noire","","","","","","0","","",""
"PlayStation 4","heavy rain and beyond two souls collection ","","","","","","1","","",""
"PlayStation 4","days gone ","","","","","","1","711719504757","",""
"PlayStation 4","sekiro shadows die twice ","","","","","","0","47875882928","",""
"PlayStation 4","until dawn rush of blood ","","","","","","0","7117195050068","",""
"PlayStation 4","vr worlds ","","","","","","0","","",""
"PlayStation 4","battlefield v","","","","","","1","14633739176","",""
"PlayStation 4","Nier Automata ","","","","","","2","662248917870","",""
"PlayStation 4","tales of zestiria ","","","","","","1","722674120395","",""
"PlayStation 4","outlast trinity ","","","","","","0","883929581399","",""
"PlayStation 4","fallout 76","","","","","","3","93155173118","",""
"PlayStation 4","sniper elite 4","","","","","","0","812303010576","",""
"PlayStation 4","xcom 2","","","","","","1","710425477485","",""
"PlayStation 4","road rage","","","","","","1","814290013639","",""
"PlayStation 4","the witcher 3 wild hunt ","","","","","","1","","",""
"PlayStation 4","the crew ","","","","","","2","8888358633","",""
"PlayStation 4","duck dynasty ","","","","","","1","47875770294","",""
"PlayStation 4","minecraft story mode season 2 ","","","","","","1","81656020092","",""
"PlayStation 4","surviving mars","","","","","","0","816819014912","",""
"PlayStation 4","shadow of the tomb raider ","","","","","","0","662248921273","",""
"PlayStation 4","earths dawn ","","","","","","0","887195000226","",""
"PlayStation 4","geometry wars 3","","","","","","1","47875771550","",""
"PlayStation 4","awsomenauts assamble","","","","","","1","696055251063","",""
"PlayStation 4","ben 10","","","","","","1","","",""
"PlayStation 4","far cry new dawn","","","","","","1","887256039011","",""
"PlayStation 4","disney infinity 3.0 ","","","","","","1","712725027360","",""
"PlayStation 4","mortal kombat 11","","","","","","1","883929668960","",""
"PlayStation 4","world war z ","","","","","","0","q710535418842","",""
"PlayStation 4","assassins creed the ezio collection ","","","","","","1","887256022280","",""
"PlayStation 4","valentino Rossi the game","","","","","","1","","",""
"PlayStation 4","detroit ","","","","","","0","711719506140","",""
"PlayStation 4","final fantasy the zodiac age ","","","","","","1","662248918587","",""
"PlayStation 4","lords of the fallen ","","","","","","1","816293016075","",""
"PlayStation 4","lego worlds ","","","","","","1","883929561803","",""
"PlayStation 4","devil may cry 5","","","","","","1","13388560585","",""
"PlayStation 4","darksiders 3 ","","","","","","1","811994020994","",""
"PlayStation 4","sleeping dogs definetive edition","","","","","","1","","",""
"PlayStation 4","moto gp 16","","","","","","1","","",""
"PlayStation 4","constructor ","","","","","","1","816819013984","",""
"PlayStation 4","syberia 3 ","","","","","","1","887256028046","",""
"PlayStation 4","resident evil 2 ","","","","","","2","13388560523","",""
"PlayStation 4","no mans sky ","","","","","","1","711719501466","",""
"PlayStation 4","dark souls 3 ","","","","","","1","722674121408","",""
"PlayStation 4","deadrising 4 frank's big package ","","","","","","1","13388560387","",""
"PlayStation 4","atari flashback vol1","","","","","","1","742725911567","",""
"PlayStation 4","jump force ","","","","","","2","722674121743","",""
"PlayStation 4","alien Isolation ","","","","","","1","10086632002","",""
"PlayStation 4","god eater 2","","","","","","2","722674120098","",""
"PlayStation 4","republiqe","","","","","","1","730865020034","",""
"PlayStation 4","shadow warrior","","","","","","1","96427018414","",""
"PlayStation 4","the last guardian ","","","","","","0","711719503408","",""
"PlayStation 4","just cause 4","","","","","","1","662248921549","",""
"PlayStation 4","dot hack gu last recorde ","","","","","","0","722674121194","",""
"Xbox One","battlefield 4","","","","","","3","14633730296","",""
"Xbox One","the evil within","","","","","","0","93155118539","",""
"Xbox One","titanfall","","","","","","0","14633730326","",""
"Xbox One","destiny","","","","","","2","47875846937","",""
"Xbox One","nba 2k16","","","","","","2","710425495984","",""
"Xbox One","metal gear solid V ","","","","","","2","83717302155","",""
"Xbox One","wolfenstein the new order ","","","","","","1","93155118218","",""
"Xbox One","disney fantasia music evolved ","","","","","","1","712725025410","",""
"Xbox One","call of duty ghosts","","","","","","0","47875846838","",""
"Xbox One","call of duty advanced warfare","","","","","","2","47875873636","",""
"Xbox One","farcry 4 LE","","","","","","1","887256300746","",""
"Xbox One","middle earth shadow of mordor","","","","","","0","883929319572","",""
"Xbox One","just dance 2015","","","","","","1","887256301064","",""
"Xbox One","dying light ","","","","","","1","883929356089","",""
"Xbox One","madden nfl 16","","","","","","0","14633733815","",""
"Xbox One","call of duty blck ops 3","","","","","","1","47875874664","",""
"Xbox One","halo master chief collection","","","","","","0","885370862812","",""
"Xbox One","halo 5","","","","","","0","885370928518","",""
"Xbox One","brothers","","","","","","0","812872018744","",""
"Xbox One","dishonored definitive edition","","","","","","0","","",""
"Xbox One","wwe 2k16","","","","","","2","710425496158","",""
"Xbox One","wwe 2k15","","","","","","0","710425494307","",""
"Xbox One","lego movie game ","","","","","","0","","",""
"Xbox One","star wars battlefront ","","","","","","2","14633735000","",""
"Xbox One","Ghost Recon Wildlands","","","","","","0","887256015732","",""
"Xbox One","Madden Nfl 17","","","","","","0","14633733822","",""
"Xbox One","sunset overdrive","","","","","","0","885370848847","",""
"Xbox One","Battlefield 1","","","","","","6","14633368659","",""
"Xbox One","skyrim special edition","15","","","","","4","93155171244","",""
"Xbox One","for honor","","","","","","0","887256015664","",""
"Xbox One","Dynasty Warriors 8 empires","","","","","","1","40198002639","",""
"Xbox One","The Witcher Wild Hunt","","","","","","1","883929391479","",""
"Xbox One","Forza Motorsport 5","","","","","","1","885370661521","",""
"Xbox One","fallout 4","","","","","","5","93155170421","",""
"Xbox One","mortal kombat x","","","","","","2","883929426393","",""
"Xbox One","disney infinity 3.0","","","","","","1","712725027407","",""
"Xbox One","ryse","","","","","","4","885370661613","",""
"Xbox One","doom","","","","","","1","93155170216","",""
"Xbox One","killer instinct combo breaker ","","","","","","0","885370858846","",""
"Xbox One","call of duty infinte warfare legacy edition ","","","","","","1","47875878631","",""
"Xbox One","call of duty infinte warfare ","","","","","","0","47875878617","",""
"Xbox One","diablo 3","","","","","","0","47875871847","",""
"Xbox One","titan fall 2 ","","","","","","0","14633368758","",""
"Xbox One","assassin's creed unity ","","","","","","1","887256301279","",""
"Xbox One","guitar hero live ","","","","","","0","","",""
"Xbox One","saints row IV re elected + gat out of hell ","","","","","","2","816819012130","",""
"Xbox One","mafia 3","","","","","","2","710425496653","",""
"Xbox One","7 days to die ","","","","","","0","894515001818","",""
"Xbox One","halo wars 2 ultimate edetion ","","","","","","0","QR4-00031","",""
"Xbox One","gta v","","","","","","1","710425495243","",""
"Xbox One","black ops 3","","","","","","0","47875874664","",""
"Xbox One","metal gear solid v official ex","","","","","","1","83717302216","",""
"Xbox One","fortnite","","","","","","0","850942007090","",""
"Xbox One","evolve ","","","","","","1","710425493751","",""
"Xbox One","far cry 4","","","","","","2","887256300708","",""
"Xbox One","just cause 3","","","","","","4","662248915913","",""
"Xbox One","farming simulator 17","","","","","","0","854952003516","",""
"Xbox One","resident evil 2 revalations ","","","","","","1","13388550111","",""
"Xbox One","battleborn","","","","","","1","93155160231","",""
"Xbox One","quantum break","","","","","","1","889842055566","",""
"Xbox One","nba 2k17","","","","","","0","710425498831","",""
"Xbox One","rocket league","","","","","","0","812872018935","",""
"Xbox One","forza horizon 2","","","","","","0","885370848960","",""
"Xbox One","ultimate ninja storm 4","","","","","","0","722674220491","",""
"Xbox One","Battlefront DE","","","","","","0","14633735000","",""
"Xbox One","madden 16","","","","","","2","14633733815","",""
"Xbox One","nhl 18","","","","","","0","14633370095","",""
"Xbox One","skylanders imag","","","","","","1","","",""
"Xbox One","skylanders super","","","","","","1","","",""
"Xbox One","resident evil 5","","","","","","1","13388550197","",""
"Xbox One","dying light enhanced edition ","","","","","","0","883929530502","",""
"Xbox One","Injustice 2","","","","","","1","883929588718","",""
"Xbox One","sniper elite 3","","","","","","0","81272017068","",""
"Xbox One","dark souls 3","","","","","","1","722674220095","",""
"Xbox One","shadow of war","","","","","","1","883929583775","",""
"Xbox One","recore","","","","","","1","889842133776","",""
"Xbox One","thief","","","","","","1","662248913377","",""
"Xbox One","tony hawks pro skater 5","","","","","","1","47875770683","",""
"Xbox One","watch dogs 2","","","","","","0","887256022785","",""
"Xbox One","watch dogs","","","","","","1","8888538042","",""
"Xbox One","the crew ultimate ed","","","","","","0","887256024642","",""
"Xbox One","Battlefeild Hardline","","","","","","1","14633367515","",""
"Xbox One","Gear of war Ulrimate Ed","","","","","","2","885370949896","",""
"Xbox One","payday 2 the big score","","","","","","1","812872019017","",""
"Xbox One","homrfront the revolution ","","","","","","1","81619011836","",""
"Xbox One","the amazing spiderman 2","","","","","","0","","",""
"Xbox One","forza horizon 3","","","","","","2","889842148251","",""
"Xbox One","dishonred 2","","","","","","2","","",""
"Xbox One","destiny 2","","","","","","2","","",""
"Xbox One","Final Fantasy XV Royal Edition","","","","","","0","662248920801","",""
"Xbox One","Sword Art Online Fatel Bullet","","","","","","0","722674221023","",""
"Xbox One","hasbro game night family conquest pack","","","","","","1","887256024611","",""
"Xbox One","resident evil 2 revalations ","","","","","","1","13388550111","",""
"Xbox One","wwe 2k18","","","","","","1","710425499463","",""
"Xbox One","madden 18","","","","","","1","14633370034","",""
"Xbox One","friday the 13th","","","","","","1","863784000426","",""
"Xbox One","Battle Worlds Kronos ","","","","","","1","811994020475","",""
"Xbox One","Rainbowsix siege","","","","","","0","887256014681","",""
"Xbox One","the hunter call of the wild ","","","","","","0","811994021076","",""
"Xbox One","skate 3","","","","","","0","14633192933","",""
"Xbox One","gears of war 4","","","","","","3","889842118650","",""
"Xbox One","south park the fractured but whole","","","","","","0","887256015787","",""
"Xbox One","killing floor 2","","","","","","0","816819014301","",""
"Xbox One","batman arkham knight","","","","","","1","883929411283","",""
"Xbox One","gears of war ultimate ","","","","","","2","885370949896","",""
"Xbox One","sea of theives","","","","","","1","889842280449","",""
"Xbox One","project cars ","","","","","","1","722674220989","",""
"Xbox One","hasbro family fun pack","","","","","","0","887256015367","",""
"Xbox One","assins creed syndicate ","","","","","","0","887256013943","",""
"Xbox One","assins creed chronicles ","","","","","","1","887256019532","",""
"Xbox One","payday 2 crime wave","","","","","","1","","",""
"Xbox One","metal gear solid v the definitive experience ","","","","","","1","8317302216","",""
"Xbox One","mortal kombat xl ","","","","","","1","883929527243","",""
"Xbox One","borderland handsom collection ","","","","","","1","710425495328","",""
"Xbox One","South Park the Stick of thruth","","","","","","1","887256033910","",""
"Xbox One","ufc 2","","","","","","1","14633734010","",""
"Xbox One","farming simulator 17","","","","","","1","854952003318","",""
"Xbox One","crash bandicoot n sane trilogy ","","","","","","0","47875881969","",""
"Xbox One","plants vs zombies gw2","","","","","","0","14633368864","",""
"Xbox One","far cry primal ","","","","","","0","887256015947","",""
"Xbox One","need for speed ","","","","","","1","14633733853","",""
"Xbox One","call of duty ww2 ","","","","","","1","47875881129","",""
"Xbox One","need for speed rivals ","","","","","","0","14633730357","",""
"Xbox One","dishonored 2","","","","","","1","93155171329","",""
"Xbox One","skyrim special edition","","","","","","3","93155171244","",""
"Xbox One","elder scrolls online ","","","","","","2","93155171176","",""
"Xbox One","dead rising 3","","","","","","0","885370663273","",""
"Xbox One","rare replay","","","","","","0","","",""
"Xbox One","ea sports Rory mcilroy pga tour ","","","","","","0","","",""
"Xbox One","monster hunter world","","","","","","2","13388550289","",""
"Xbox One","dark souls remastered ","","","","","","1","722674220903","",""
"Xbox One","dragonball xenoverse 2","","","","","","2","722674220637","",""
"Xbox One","stardew valley","","","","","","1","","",""
"Xbox One","nhl 15","","","","","","1","14633368468","",""
"Xbox One","far cry 5","","","","","","2","887256028916","",""
"Xbox One","assassins creed syndicate ","","","","","","1","887256013974","",""
"Xbox One","assassins creed origins ","","","","","","0","887256028497","",""
"Xbox One","assassins creed odyssey","","","","","","1","887256036041","",""
"Xbox One","outlast trinity","","","","","","2","883929581382","",""
"Xbox One","prey","","","","","","1","93155171473","",""
"Xbox One","dragon age inquisition ","","","","","","0","","",""
"Xbox One","professional farmer 2017","","","","","","0","4020636131752","",""
"Xbox One","fifa 19","","","","","","0","14633371666","",""
"Xbox One","nba 2k18","","","","","","1","710425499081","",""
"Xbox One","call of duty infinite warfare legacy edition ","","","","","","1","steelbook ","",""
"Xbox One","Final Fantasy XV ","","","","","","0","662248917610","",""
"Xbox One","minecraft","","","","","","4","885370829884","",""
"Xbox One","call of duty black ops 4","","","","","","1","47875882348","",""
"Xbox One","battlefield v","","","","","","1","14633373936","",""
"Xbox One","hitman 2","","","","","","0","883929639564","",""
"Xbox One","madden nfl 19","","","","","","0","14633371758","",""
"Xbox One","Conan Exiles ","","","","","","0","816819014967","",""
"Xbox One","star wars battlefront 2","","","","","","1","14633735321","",""
"Xbox One","darksiders warmastered edition ","","","","","","0","","",""
"Xbox One","monster energy supercross","","","","","","1","662248920474","",""
"Xbox One","rbi baseball 2017","","","","","","0","868738000255","",""
"Xbox One","the crew 2","","","","","","2","887256029067","",""
"Xbox One","lego marvel super heroes ","","","","","","0","883929366941","",""
"Xbox One","nba live 14","","","","","","1","","",""
"Xbox One","nba live 19","","","","","","5","","",""
"Xbox One","shadow of the tomb raider ","","","","","","0","662248921310","",""
"Xbox One","nhl 18","","","","","","1","14633370065","",""
"Xbox One","professional farmer 2017 gold edition ","","","","","","0","819759020043","",""
"Xbox One","red dead redeption 2 se","","","","","","0","710425590443","",""
"Xbox One","ghostbusters ","","","","","","1","47875771499","",""
"Xbox One","forza motorsports 7","","","","","","0","889842227826","",""
"Xbox One","resident evil 4 hd","","","","","","0","13388550203","",""
"Xbox One","resident evil 7","","","","","","2","13388550173","",""
"Xbox One","resident evil 6 hd","","","","","","1","13388550180","",""
"Xbox One","titanfall 2","","","","","","0","14633372427","",""
"Xbox One","megaman legacy collection","","","","","","1","13388550142","",""
"Xbox One","beast quest","","","","","","7","814290013905","",""
"Xbox One","extinction","","","","","","1","814290014261","",""
"Xbox One","xcom 2","","","","","","1","","",""
"Xbox One","shaq fu","","","","","","2","810810030087","",""
"Xbox One","super lucky's tale ","","","","","","0","","",""
"Xbox One","life is strange season 2","","","","","","0","","",""
"Xbox One","a way out","","","","","","0","","",""
"Xbox One","dishonered death of the outsider","","","","","","2","","",""
"Xbox One","Final fantasy 0","","","","","","1","","",""
"Xbox One","resident evil 2 ","","","","","","0","13388550364","",""
"Xbox One","mud runner ","","","","","","0","854952003943","",""
"Xbox One","forza horizon 4 ","","","","","","3","889842392357","",""
"Xbox One","mass effect andromita ","","","","","","1","","",""
"Xbox One","alien isolation ","","","","","","1","","",""
"Xbox One","walking dead collection","","","","","","1","883929622566","",""
"Xbox One","lego jurassic world ","","","","","","1","","",""
"Xbox One","atari flashback classics vol. 1","","","","","","1","742725911574","",""
"Xbox One","halo wars 2 ","","","","","","0","","",""
"Xbox One","transformers rise of the dark spark ","","","","","","1","","",""
"Xbox One","monster jam crush it ","","","","","","1","834656000325","",""
"Xbox One","lego worlds","","","","","","1","883929561810","",""
"Xbox One","duke nukem 20th anniversary ","","","","","","1","850942007007","",""
"Xbox One","injustice 2 legandary edition ","","","","","","0","883929632930","",""
"Xbox One","assassins creed black flag ","","","","","","1","8888538110","",""
"Xbox One","dead island defintive collection ","","","","","","0","816819013373","",""
"Xbox One","call of cthulhu ","","","","","","0","854952003875","",""
"Xbox One","strange brigade ","","","","","","1","812303011597","",""
"Xbox One","far cry new dawn","","","","","","1","887256039073","",""
"Xbox One","metro exodus ","","","","","","2","816819014509","",""
"Xbox One","metal gear survive ","","","","","","1","83717302384","",""
"Xbox One","fallout 76","","","","","","1","93155173040","",""
"Xbox One","player uknowns battlegrounds ","","","","","","1","88984238701","",""
"Xbox One","nascar heat 2","","","","","","1","867771000147","",""
"Xbox One","la noire ","","","","","","1","710425499623","",""
"Xbox One","nhl 19 ","","","","","","1","1463373707","",""
"Xbox One","skylanders trap team ","","","","","","1","","",""
"Xbox One","dragonball fighterz","","","","","","1","722674221443","",""
"Xbox One","wwe 2k19 ","","","","","","1","710425590658","",""
"Xbox One","overwatch","","","","","","0","47875881303","",""
